"","Subdistrict_Code","Year","Month","NumberCases"
"788","104002",2014,4,1
"789","100206",2014,4,1
"790","100109",2014,4,1
"791","101702",2014,4,1
"792","101905",2014,4,1
"793","101701",2014,4,1
"794","102902",2014,4,1
"795","101803",2014,4,1
"796","103704",2014,4,1
"797","101801",2014,4,1
"798","100702",2014,4,1
"799","104502",2014,4,1
"800","102209",2014,4,2
"801","101601",2014,4,1
"802","105001",2014,4,1
"803","104603",2014,5,1
"804","101104",2014,5,1
"805","104701",2014,5,7
"806","103101",2014,5,4
"807","103201",2014,5,3
"808","102209",2014,5,4
"809","102402",2014,5,1
"810","104301",2014,5,4
"811","103502",2014,5,4
"812","100206",2014,5,2
"813","104102",2014,5,1
"814","103801",2014,5,2
"815","100905",2014,5,3
"816","102303",2014,5,5
"817","103902",2014,5,1
"818","104004",2014,5,1
"819","102701",2014,5,3
"820","100203",2014,5,5
"821","100502",2014,5,2
"822","103401",2014,5,8
"823","101001",2014,5,2
"824","104902",2014,5,2
"825","103504",2014,5,3
"826","101901",2014,5,2
"827","103303",2014,5,2
"828","101002",2014,5,1
"829","103704",2014,5,2
"830","100801",2014,5,1
"831","100601",2014,5,1
"832","100305",2014,5,1
"833","104801",2014,5,1
"834","104401",2014,5,3
"835","102601",2014,5,3
"836","102105",2014,5,1
"837","100301",2014,5,2
"838","100403",2014,5,2
"839","104203",2014,5,4
"840","100111",2014,5,1
"841","102504",2014,5,1
"842","101903",2014,5,1
"843","102107",2014,5,2
"844","100201",2014,5,2
"845","104503",2014,5,1
"846","105001",2014,5,1
"847","104002",2014,5,2
"848","104001",2014,5,1
"849","102503",2014,5,1
"850","104901",2014,5,2
"851","100103",2014,5,2
"852","103103",2014,5,2
"853","104501",2014,5,3
"854","100307",2014,5,2
"855","101802",2014,5,3
"856","103005",2014,5,3
"857","100401",2014,5,1
"858","102005",2014,5,1
"859","101204",2014,5,1
"860","103301",2014,5,2
"861","103602",2014,5,3
"862","101602",2014,5,3
"863","100109",2014,5,2
"864","104502",2014,5,3
"865","102302",2014,5,3
"866","102201",2014,5,1
"867","100302",2014,5,1
"868","102004",2014,5,1
